"Age","Checking Account Status","Credit Amount","Credit History","Duration in month","Housing","Installment rate in % of disposable income","Job type","Number of dependents","Number of existing credits","Other installment plans","Personal Status","Present Employment since","Present residence since","Property","Purpose","Savings Account/Bonds","Telephone","CreditRatingGood?"
27,"Less than 0 DM",2628,"existing credits paid back duly till now",24,"rent",4,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",3,"building society savings agreement life insurance","new car","Less than 100 DM","none","false"
39,"0 to 200 DM",3577,"delay in paying off in the past",20,"own",4,"management self-employed highly qualified employee officer",1,1,"none","male single","4 to 7 years",3,"building society savings agreement life insurance","new car","Less than 100 DM","yes registered under the customers name","false"
44,"Less than 0 DM",3540,"delay in paying off in the past",53,"own",3,"skilled employee official",1,2,"none","male single","4 to 7 years",3,"unknown / no property","business","Less than 100 DM","yes registered under the customers name","false"
31,"no checking account",4371,"existing credits paid back duly till now",28,"own",3,"management self-employed highly qualified employee officer",1,2,"bank","male single","1 to 4 years",2,"car or other not in attribute 6","radio television","500 to 1000 DM","yes registered under the customers name","false"
27,"Less than 0 DM",1375,"existing credits paid back duly till now",24,"rent",4,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",4,"real estate","new car","unknown no savings account","none","false"
46,"0 to 200 DM",3417,"no credits taken all credits paid back duly",33,"for free",4,"management self-employed highly qualified employee officer",1,1,"none","female divorced separated married","Greater than 7 years",3,"unknown / no property","used car","Less than 100 DM","yes registered under the customers name","false"
52,"Less than 0 DM",4627,"existing credits paid back duly till now",10,"for free",3,"management self-employed highly qualified employee officer",1,1,"none","male single","Greater than 7 years",4,"unknown / no property","new car","Less than 100 DM","yes registered under the customers name","false"
24,"0 to 200 DM",2465,"existing credits paid back duly till now",58,"own",2,"skilled employee official",1,1,"none","male married widowed","1 to 4 years",1,"real estate","radio television","unknown no savings account","yes registered under the customers name","false"
32,"Less than 0 DM",2400,"existing credits paid back duly till now",18,"own",4,"unskilled - resident",1,1,"stores","male single","Less than 1 year",1,"real estate","new car","Less than 100 DM","none","false"
23,"Less than 0 DM",1119,"existing credits paid back duly till now",16,"own",4,"unskilled - resident",1,1,"none","female divorced separated married","Less than 1 year",2,"real estate","new car","Less than 100 DM","none","false"
28,"Less than 0 DM",5248,"all credits at this bank paid back duly",16,"rent",4,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"building society savings agreement life insurance","business","Less than 100 DM","yes registered under the customers name","false"
27,"Greater than 200 DM",709,"all credits at this bank paid back duly",15,"own",4,"unemployed unskilled - non-resident",1,1,"none","female divorced separated married","unemployed",1,"real estate","business","Less than 100 DM","none","false"
50,"Less than 0 DM",2317,"existing credits paid back duly till now",23,"for free",4,"skilled employee official",1,2,"none","male single","1 to 4 years",4,"unknown / no property","radio television","Less than 100 DM","yes registered under the customers name","false"
27,"Less than 0 DM",985,"existing credits paid back duly till now",10,"own",4,"unskilled - resident",1,1,"none","male single","1 to 4 years",3,"real estate","new car","Less than 100 DM","none","false"
26,"0 to 200 DM",2073,"critical account other credits existing (not at this bank)",23,"own",3,"unskilled - resident",1,2,"none","male single","Less than 1 year",2,"real estate","furniture equipment","Less than 100 DM","none","false"
32,"0 to 200 DM",7219,"critical account other credits existing (not at this bank)",31,"own",2,"skilled employee official",1,1,"none","male single","4 to 7 years",2,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","false"
27,"no checking account",8378,"delay in paying off in the past",33,"rent",3,"skilled employee official",1,2,"bank","male single","Less than 1 year",3,"car or other not in attribute 6","business","Less than 100 DM","yes registered under the customers name","false"
28,"0 to 200 DM",3314,"critical account other credits existing (not at this bank)",20,"own",2,"unskilled - resident",1,1,"bank","female divorced separated married","Less than 1 year",3,"car or other not in attribute 6","furniture equipment","Less than 100 DM","none","false"
26,"0 to 200 DM",1213,"existing credits paid back duly till now",12,"rent",4,"skilled employee official",1,4,"bank","female divorced separated married","Less than 1 year",4,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","false"
30,"0 to 200 DM",2119,"critical account other credits existing (not at this bank)",22,"own",4,"unskilled - resident",1,2,"none","male single","Less than 1 year",2,"building society savings agreement life insurance","radio television","Less than 100 DM","none","false"
35,"Less than 0 DM",947,"critical account other credits existing (not at this bank)",14,"own",4,"skilled employee official",2,2,"none","male single","Greater than 7 years",3,"building society savings agreement life insurance","new car","Less than 100 DM","none","false"
56,"Less than 0 DM",8990,"existing credits paid back duly till now",8,"own",2,"management self-employed highly qualified employee officer",1,1,"none","male single","Greater than 7 years",4,"unknown / no property","furniture equipment","Less than 100 DM","yes registered under the customers name","false"
31,"Less than 0 DM",2178,"existing credits paid back duly till now",24,"own",4,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",2,"building society savings agreement life insurance","radio television","Less than 100 DM","none","false"
49,"0 to 200 DM",14952,"no credits taken all credits paid back duly",47,"rent",2,"skilled employee official",1,2,"none","male single","Less than 1 year",4,"unknown / no property","business","Less than 100 DM","none","false"
43,"Greater than 200 DM",2083,"existing credits paid back duly till now",15,"for free",1,"unskilled - resident",2,1,"none","female divorced separated married","Greater than 7 years",3,"real estate","radio television","Less than 100 DM","none","false"
25,"0 to 200 DM",2675,"existing credits paid back duly till now",44,"rent",4,"skilled employee official",1,1,"none","male single","1 to 4 years",4,"car or other not in attribute 6","radio television","Less than 100 DM","none","false"
28,"0 to 200 DM",3221,"existing credits paid back duly till now",37,"for free",3,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",4,"unknown / no property","radio television","100 to 500 DM","none","false"
32,"0 to 200 DM",3178,"no credits taken all credits paid back duly",46,"for free",4,"unskilled - resident",2,1,"none","male single","4 to 7 years",4,"unknown / no property","new car","100 to 500 DM","none","false"
23,"no checking account",1171,"existing credits paid back duly till now",12,"own",4,"skilled employee official",1,1,"none","male single","4 to 7 years",2,"car or other not in attribute 6","radio television","Less than 100 DM","none","false"
28,"Less than 0 DM",898,"critical account other credits existing (not at this bank)",12,"own",4,"skilled employee official",1,1,"none","male married widowed","4 to 7 years",2,"real estate","new car","Less than 100 DM","none","false"
24,"Less than 0 DM",5098,"existing credits paid back duly till now",20,"own",2,"skilled employee official",2,1,"none","male single","1 to 4 years",2,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","false"
29,"Less than 0 DM",1338,"existing credits paid back duly till now",24,"rent",4,"skilled employee official",1,1,"none","female divorced separated married","4 to 7 years",4,"real estate","new car","unknown no savings account","none","false"
28,"Less than 0 DM",1364,"existing credits paid back duly till now",24,"rent",4,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",4,"unknown / no property","new car","unknown no savings account","none","false"
50,"0 to 200 DM",3097,"no credits taken all credits paid back duly",33,"for free",3,"management self-employed highly qualified employee officer",1,1,"none","female divorced separated married","Greater than 7 years",4,"unknown / no property","business","Less than 100 DM","yes registered under the customers name","false"
24,"0 to 200 DM",1832,"existing credits paid back duly till now",12,"own",2,"skilled employee official",1,1,"none","male married widowed","1 to 4 years",1,"building society savings agreement life insurance","radio television","Less than 100 DM","yes registered under the customers name","false"
34,"Less than 0 DM",3334,"existing credits paid back duly till now",24,"rent",4,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"building society savings agreement life insurance","business","Less than 100 DM","yes registered under the customers name","false"
40,"no checking account",734,"existing credits paid back duly till now",12,"own",4,"unskilled - resident",2,1,"bank","male single","Greater than 7 years",3,"building society savings agreement life insurance","education","Less than 100 DM","none","false"
34,"0 to 200 DM",6244,"existing credits paid back duly till now",16,"rent",2,"skilled employee official",1,2,"none","female divorced separated married","1 to 4 years",4,"car or other not in attribute 6","new car","unknown no savings account","yes registered under the customers name","false"
27,"Less than 0 DM",3824,"critical account other credits existing (not at this bank)",31,"own",4,"skilled employee official",1,2,"stores","female divorced separated married","1 to 4 years",2,"real estate","new car","Less than 100 DM","yes registered under the customers name","false"
25,"0 to 200 DM",1828,"existing credits paid back duly till now",20,"own",2,"unskilled - resident",1,1,"bank","male married widowed","4 to 7 years",3,"car or other not in attribute 6","furniture equipment","Less than 100 DM","none","false"
24,"Less than 0 DM",2549,"existing credits paid back duly till now",21,"own",2,"unskilled - resident",2,1,"none","male single","1 to 4 years",3,"real estate","radio television","Less than 100 DM","none","false"
24,"0 to 200 DM",2040,"existing credits paid back duly till now",10,"rent",4,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",4,"real estate","furniture equipment","Less than 100 DM","none","false"
47,"Greater than 200 DM",1308,"existing credits paid back duly till now",13,"for free",4,"unskilled - resident",2,2,"none","male single","4 to 7 years",4,"unknown / no property","new car","Less than 100 DM","none","false"
33,"Less than 0 DM",1262,"existing credits paid back duly till now",15,"own",4,"unskilled - resident",1,1,"stores","male single","Less than 1 year",2,"real estate","new car","Less than 100 DM","none","false"
24,"Less than 0 DM",5416,"critical account other credits existing (not at this bank)",20,"rent",4,"skilled employee official",1,2,"bank","female divorced separated married","1 to 4 years",4,"car or other not in attribute 6","used car","100 to 500 DM","none","false"
26,"Less than 0 DM",6427,"critical account other credits existing (not at this bank)",38,"own",4,"management self-employed highly qualified employee officer",1,1,"bank","female divorced separated married","1 to 4 years",2,"unknown / no property","education","Less than 100 DM","yes registered under the customers name","false"
25,"Less than 0 DM",6863,"existing credits paid back duly till now",27,"own",1,"skilled employee official",1,1,"none","male married widowed","Less than 1 year",1,"building society savings agreement life insurance","radio television","Less than 100 DM","yes registered under the customers name","false"
56,"Less than 0 DM",2614,"all credits at this bank paid back duly",16,"for free",4,"skilled employee official",1,1,"none","female divorced separated married","Greater than 7 years",4,"unknown / no property","education","Less than 100 DM","none","false"
31,"0 to 200 DM",994,"existing credits paid back duly till now",24,"own",4,"skilled employee official",1,1,"bank","female divorced separated married","Greater than 7 years",2,"building society savings agreement life insurance","new car","unknown no savings account","none","false"
26,"Less than 0 DM",1829,"existing credits paid back duly till now",18,"own",4,"skilled employee official",1,2,"bank","male married widowed","1 to 4 years",3,"real estate","radio television","Less than 100 DM","none","false"
40,"Less than 0 DM",2610,"critical account other credits existing (not at this bank)",20,"rent",4,"skilled employee official",1,2,"bank","male single","1 to 4 years",2,"building society savings agreement life insurance","new car","Less than 100 DM","yes registered under the customers name","false"
50,"Less than 0 DM",3635,"no credits taken all credits paid back duly",32,"for free",4,"skilled employee official",2,1,"none","male single","Less than 1 year",4,"unknown / no property","furniture equipment","500 to 1000 DM","none","false"
44,"0 to 200 DM",2163,"existing credits paid back duly till now",16,"own",4,"unskilled - resident",1,2,"bank","female divorced separated married","Greater than 7 years",2,"car or other not in attribute 6","business","100 to 500 DM","none","false"
44,"Less than 0 DM",1181,"critical account other credits existing (not at this bank)",23,"own",4,"unskilled - resident",1,2,"none","male single","Greater than 7 years",4,"building society savings agreement life insurance","new car","Less than 100 DM","none","false"
31,"no checking account",2247,"critical account other credits existing (not at this bank)",18,"own",3,"skilled employee official",1,2,"bank","male single","Greater than 7 years",2,"real estate","new car","Less than 100 DM","none","false"
30,"Less than 0 DM",2602,"no credits taken all credits paid back duly",24,"rent",4,"skilled employee official",1,2,"none","male single","Greater than 7 years",3,"car or other not in attribute 6","business","Less than 100 DM","none","false"
29,"no checking account",1905,"critical account other credits existing (not at this bank)",18,"rent",4,"skilled employee official",1,2,"none","female divorced separated married","1 to 4 years",3,"real estate","furniture equipment","100 to 500 DM","none","false"
24,"Less than 0 DM",1251,"existing credits paid back duly till now",24,"rent",4,"skilled employee official",1,2,"none","female divorced separated married","Less than 1 year",4,"car or other not in attribute 6","new car","Less than 100 DM","none","false"
30,"Less than 0 DM",1119,"no credits taken all credits paid back duly",20,"rent",3,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"car or other not in attribute 6","new car","Less than 100 DM","none","false"
28,"Less than 0 DM",747,"existing credits paid back duly till now",13,"own",3,"unskilled - resident",1,1,"none","female divorced separated married","1 to 4 years",2,"real estate","radio television","100 to 500 DM","none","false"
25,"Less than 0 DM",824,"existing credits paid back duly till now",16,"own",4,"skilled employee official",1,1,"bank","male married widowed","1 to 4 years",3,"real estate","radio television","Less than 100 DM","none","false"
27,"no checking account",2786,"existing credits paid back duly till now",8,"own",4,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",4,"real estate","furniture equipment","Less than 100 DM","none","false"
46,"Less than 0 DM",5313,"existing credits paid back duly till now",24,"own",3,"management self-employed highly qualified employee officer",1,1,"none","male single","unemployed",1,"unknown / no property","radio television","unknown no savings account","yes registered under the customers name","false"
42,"Less than 0 DM",2816,"existing credits paid back duly till now",27,"own",4,"unskilled - resident",2,2,"none","male single","1 to 4 years",2,"car or other not in attribute 6","new car","unknown no savings account","none","false"
33,"Less than 0 DM",4172,"no credits taken all credits paid back duly",19,"rent",3,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"car or other not in attribute 6","new car","Less than 100 DM","none","false"
56,"Less than 0 DM",4461,"critical account other credits existing (not at this bank)",21,"own",3,"skilled employee official",1,1,"none","male single","Greater than 7 years",3,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","false"
21,"Less than 0 DM",1109,"existing credits paid back duly till now",10,"rent",3,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",4,"building society savings agreement life insurance","radio television","Less than 100 DM","none","false"
23,"Less than 0 DM",941,"existing credits paid back duly till now",12,"own",4,"skilled employee official",1,1,"none","male married widowed","1 to 4 years",2,"car or other not in attribute 6","domestic appliances","unknown no savings account","none","false"
38,"Less than 0 DM",3131,"critical account other credits existing (not at this bank)",6,"rent",2,"management self-employed highly qualified employee officer",1,1,"none","female divorced separated married","1 to 4 years",4,"real estate","furniture equipment","Less than 100 DM","none","false"
26,"Less than 0 DM",7937,"critical account other credits existing (not at this bank)",37,"own",4,"skilled employee official",1,1,"bank","male single","4 to 7 years",3,"unknown / no property","used car","Less than 100 DM","yes registered under the customers name","false"
37,"Less than 0 DM",3292,"existing credits paid back duly till now",23,"rent",4,"skilled employee official",2,2,"none","male single","Greater than 7 years",3,"car or other not in attribute 6","furniture equipment","Less than 100 DM","none","false"
22,"no checking account",1046,"existing credits paid back duly till now",26,"rent",3,"skilled employee official",1,1,"none","female divorced separated married","unemployed",3,"real estate","new car","Less than 100 DM","none","false"
26,"Less than 0 DM",3888,"existing credits paid back duly till now",33,"own",3,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",2,"real estate","radio television","Less than 100 DM","none","false"
38,"Less than 0 DM",3759,"existing credits paid back duly till now",45,"for free",4,"skilled employee official",2,1,"none","male single","Less than 1 year",4,"unknown / no property","new car","500 to 1000 DM","yes registered under the customers name","false"
25,"0 to 200 DM",2754,"existing credits paid back duly till now",28,"rent",2,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",4,"car or other not in attribute 6","new car","100 to 500 DM","none","false"
35,"Less than 0 DM",2472,"existing credits paid back duly till now",15,"own",4,"unskilled - resident",2,2,"none","male single","1 to 4 years",1,"building society savings agreement life insurance","new car","Less than 100 DM","none","false"
42,"Less than 0 DM",7486,"existing credits paid back duly till now",12,"for free",4,"skilled employee official",1,1,"none","male single","Greater than 7 years",4,"unknown / no property","furniture equipment","Less than 100 DM","yes registered under the customers name","false"
20,"Less than 0 DM",2824,"existing credits paid back duly till now",22,"own",2,"skilled employee official",1,1,"none","male single","1 to 4 years",3,"car or other not in attribute 6","furniture equipment","unknown no savings account","none","false"
21,"Less than 0 DM",1329,"existing credits paid back duly till now",14,"rent",4,"skilled employee official",1,2,"none","female divorced separated married","1 to 4 years",4,"car or other not in attribute 6","furniture equipment","Less than 100 DM","none","false"
53,"0 to 200 DM",1698,"delay in paying off in the past",23,"own",4,"management self-employed highly qualified employee officer",1,1,"none","male single","Greater than 7 years",4,"building society savings agreement life insurance","new car","Less than 100 DM","yes registered under the customers name","false"
53,"Less than 0 DM",1529,"critical account other credits existing (not at this bank)",40,"for free",3,"unemployed unskilled - non-resident",2,2,"none","female divorced separated married","Greater than 7 years",4,"unknown / no property","repairs","Less than 100 DM","none","false"
39,"Greater than 200 DM",2197,"no credits taken all credits paid back duly",30,"own",4,"skilled employee official",1,2,"none","female divorced separated married","Less than 1 year",2,"car or other not in attribute 6","radio television","Less than 100 DM","yes registered under the customers name","false"
32,"0 to 200 DM",2438,"no credits taken all credits paid back duly",22,"own",4,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",2,"car or other not in attribute 6","radio television","Less than 100 DM","yes registered under the customers name","false"
27,"no checking account",5798,"delay in paying off in the past",36,"own",2,"skilled employee official",1,2,"none","male divorced separated","Less than 1 year",1,"car or other not in attribute 6","business","Less than 100 DM","none","false"
28,"Greater than 200 DM",3780,"critical account other credits existing (not at this bank)",20,"own",4,"skilled employee official",1,2,"none","male single","4 to 7 years",3,"car or other not in attribute 6","used car","Less than 100 DM","yes registered under the customers name","false"
43,"0 to 200 DM",1469,"delay in paying off in the past",12,"own",4,"management self-employed highly qualified employee officer",1,1,"none","male divorced separated","Greater than 7 years",4,"building society savings agreement life insurance","new car","Less than 100 DM","yes registered under the customers name","false"
52,"no checking account",7397,"critical account other credits existing (not at this bank)",24,"own",4,"management self-employed highly qualified employee officer",1,2,"bank","female divorced separated married","unemployed",1,"car or other not in attribute 6","used car","unknown no savings account","yes registered under the customers name","false"
30,"Less than 0 DM",1451,"all credits at this bank paid back duly",36,"rent",2,"skilled employee official",1,1,"none","female divorced separated married","4 to 7 years",4,"car or other not in attribute 6","new car","Less than 100 DM","none","false"
22,"Less than 0 DM",978,"existing credits paid back duly till now",21,"rent",4,"skilled employee official",1,1,"none","female divorced separated married","4 to 7 years",4,"building society savings agreement life insurance","new car","Less than 100 DM","none","false"
22,"0 to 200 DM",1666,"existing credits paid back duly till now",20,"own",1,"skilled employee official",1,1,"none","male married widowed","Less than 1 year",1,"real estate","radio television","Less than 100 DM","yes registered under the customers name","false"
59,"0 to 200 DM",4637,"no credits taken all credits paid back duly",47,"for free",3,"skilled employee official",1,1,"none","male single","Greater than 7 years",4,"unknown / no property","business","Less than 100 DM","yes registered under the customers name","false"
23,"Greater than 200 DM",2611,"existing credits paid back duly till now",24,"own",4,"skilled employee official",1,1,"none","male single","4 to 7 years",2,"car or other not in attribute 6","radio television","Less than 100 DM","none","false"
27,"0 to 200 DM",2242,"existing credits paid back duly till now",38,"own",4,"skilled employee official",1,1,"none","male single","4 to 7 years",2,"real estate","radio television","Less than 100 DM","none","false"
39,"Less than 0 DM",6059,"no credits taken all credits paid back duly",19,"own",4,"skilled employee official",1,2,"none","male single","unemployed",3,"building society savings agreement life insurance","radio television","Less than 100 DM","yes registered under the customers name","false"
26,"Greater than 200 DM",2849,"existing credits paid back duly till now",17,"rent",2,"unskilled - resident",2,1,"bank","male single","1 to 4 years",2,"real estate","furniture equipment","Less than 100 DM","none","false"
24,"0 to 200 DM",1636,"existing credits paid back duly till now",21,"own",2,"skilled employee official",1,1,"none","male married widowed","Less than 1 year",1,"real estate","radio television","unknown no savings account","yes registered under the customers name","false"
25,"Less than 0 DM",2639,"existing credits paid back duly till now",9,"rent",3,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",4,"building society savings agreement life insurance","radio television","Less than 100 DM","none","false"
39,"0 to 200 DM",3697,"existing credits paid back duly till now",34,"own",4,"skilled employee official",2,1,"none","male single","1 to 4 years",2,"car or other not in attribute 6","business","Less than 100 DM","yes registered under the customers name","false"
48,"Less than 0 DM",4025,"all credits at this bank paid back duly",23,"own",4,"skilled employee official",1,1,"bank","male divorced separated","Less than 1 year",2,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","yes registered under the customers name","false"
38,"0 to 200 DM",2503,"critical account other credits existing (not at this bank)",18,"own",4,"skilled employee official",1,2,"none","male divorced separated","Greater than 7 years",4,"real estate","business","Less than 100 DM","yes registered under the customers name","false"
37,"0 to 200 DM",884,"existing credits paid back duly till now",10,"for free",4,"skilled employee official",2,2,"none","male single","Greater than 7 years",3,"car or other not in attribute 6","radio television","Greater than 1000 DM","none","false"
23,"0 to 200 DM",3962,"existing credits paid back duly till now",48,"own",2,"skilled employee official",1,1,"none","male single","4 to 7 years",4,"real estate","radio television","Less than 100 DM","none","false"
32,"Greater than 200 DM",2283,"existing credits paid back duly till now",18,"own",3,"skilled employee official",1,1,"stores","male single","1 to 4 years",2,"real estate","radio television","Less than 100 DM","none","false"
22,"0 to 200 DM",4935,"existing credits paid back duly till now",33,"own",2,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",2,"unknown / no property","radio television","Less than 100 DM","none","false"
52,"Less than 0 DM",8330,"existing credits paid back duly till now",48,"for free",3,"skilled employee official",1,2,"stores","male single","Greater than 7 years",4,"unknown / no property","used car","unknown no savings account","none","false"
44,"Less than 0 DM",3630,"existing credits paid back duly till now",33,"for free",4,"skilled employee official",1,1,"none","male single","1 to 4 years",4,"unknown / no property","radio television","Less than 100 DM","none","false"
31,"Less than 0 DM",4355,"existing credits paid back duly till now",49,"for free",4,"skilled employee official",1,1,"none","male single","1 to 4 years",4,"unknown / no property","education","Less than 100 DM","yes registered under the customers name","false"
50,"0 to 200 DM",6270,"delay in paying off in the past",54,"for free",4,"skilled employee official",1,1,"none","male single","1 to 4 years",4,"unknown / no property","education","Less than 100 DM","none","false"
29,"Greater than 200 DM",2264,"existing credits paid back duly till now",32,"own",4,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"car or other not in attribute 6","repairs","Less than 100 DM","none","false"
37,"Less than 0 DM",1502,"all credits at this bank paid back duly",23,"own",4,"unskilled - resident",1,2,"none","male single","1 to 4 years",2,"building society savings agreement life insurance","new car","unknown no savings account","none","false"
35,"0 to 200 DM",3637,"critical account other credits existing (not at this bank)",23,"own",2,"unskilled - resident",1,3,"none","male single","Less than 1 year",2,"real estate","furniture equipment","Less than 100 DM","none","false"
28,"no checking account",2160,"delay in paying off in the past",24,"own",4,"skilled employee official",1,1,"none","male married widowed","4 to 7 years",1,"car or other not in attribute 6","business","Less than 100 DM","yes registered under the customers name","false"
22,"Less than 0 DM",1392,"existing credits paid back duly till now",18,"own",3,"skilled employee official",1,1,"none","male married widowed","1 to 4 years",3,"car or other not in attribute 6","new car","unknown no savings account","none","false"
35,"Less than 0 DM",914,"existing credits paid back duly till now",19,"own",4,"skilled employee official",2,1,"none","male single","Greater than 7 years",3,"car or other not in attribute 6","radio television","Less than 100 DM","none","false"
29,"0 to 200 DM",1629,"no credits taken all credits paid back duly",10,"own",3,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",3,"car or other not in attribute 6","new car","100 to 500 DM","none","false"
44,"Less than 0 DM",4065,"critical account other credits existing (not at this bank)",23,"rent",2,"management self-employed highly qualified employee officer",1,1,"none","female divorced separated married","1 to 4 years",3,"real estate","furniture equipment","Less than 100 DM","yes registered under the customers name","false"
22,"Less than 0 DM",941,"existing credits paid back duly till now",7,"rent",3,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",4,"building society savings agreement life insurance","radio television","Less than 100 DM","none","false"
40,"Less than 0 DM",1202,"existing credits paid back duly till now",30,"own",4,"skilled employee official",2,1,"none","male single","Greater than 7 years",3,"car or other not in attribute 6","radio television","Less than 100 DM","none","false"
33,"Less than 0 DM",9492,"no credits taken all credits paid back duly",45,"rent",2,"skilled employee official",1,2,"none","female divorced separated married","Greater than 7 years",4,"car or other not in attribute 6","business","Less than 100 DM","none","false"
34,"no checking account",758,"existing credits paid back duly till now",12,"own",4,"unskilled - resident",2,1,"bank","male single","Greater than 7 years",4,"building society savings agreement life insurance","education","unknown no savings account","none","false"
48,"no checking account",1348,"delay in paying off in the past",24,"own",4,"unskilled - resident",2,2,"none","male single","Greater than 7 years",4,"car or other not in attribute 6","new car","Less than 100 DM","none","false"
44,"Less than 0 DM",874,"existing credits paid back duly till now",15,"own",4,"unskilled - resident",1,1,"none","male married widowed","Less than 1 year",3,"real estate","domestic appliances","100 to 500 DM","yes registered under the customers name","false"
34,"Less than 0 DM",1374,"existing credits paid back duly till now",24,"own",4,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",3,"unknown / no property","new car","unknown no savings account","none","false"
34,"Less than 0 DM",1297,"existing credits paid back duly till now",21,"own",4,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",2,"building society savings agreement life insurance","new car","unknown no savings account","none","false"
31,"0 to 200 DM",1737,"critical account other credits existing (not at this bank)",18,"own",3,"skilled employee official",1,2,"bank","male single","4 to 7 years",3,"real estate","new car","Less than 100 DM","none","false"
27,"0 to 200 DM",2708,"existing credits paid back duly till now",17,"rent",2,"unskilled - resident",1,1,"none","female divorced separated married","1 to 4 years",4,"building society savings agreement life insurance","new car","Less than 100 DM","yes registered under the customers name","false"
32,"Less than 0 DM",581,"existing credits paid back duly till now",7,"own",4,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",4,"building society savings agreement life insurance","education","Less than 100 DM","none","false"
27,"0 to 200 DM",5963,"all credits at this bank paid back duly",36,"own",2,"skilled employee official",1,1,"none","male single","4 to 7 years",3,"building society savings agreement life insurance","new car","100 to 500 DM","none","false"
25,"0 to 200 DM",1388,"existing credits paid back duly till now",12,"rent",3,"skilled employee official",1,1,"none","male married widowed","Less than 1 year",1,"real estate","radio television","Less than 100 DM","none","false"
41,"Less than 0 DM",947,"existing credits paid back duly till now",14,"own",3,"unskilled - resident",2,1,"none","male single","1 to 4 years",2,"car or other not in attribute 6","education","Less than 100 DM","none","false"
30,"0 to 200 DM",2128,"existing credits paid back duly till now",20,"own",3,"unskilled - resident",1,1,"none","male married widowed","Less than 1 year",2,"unknown / no property","radio television","100 to 500 DM","yes registered under the customers name","false"
45,"Less than 0 DM",7118,"existing credits paid back duly till now",12,"for free",4,"skilled employee official",1,1,"none","male single","Greater than 7 years",4,"unknown / no property","furniture equipment","Less than 100 DM","yes registered under the customers name","false"
25,"Less than 0 DM",3521,"existing credits paid back duly till now",33,"own",2,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",2,"real estate","radio television","Less than 100 DM","none","false"
38,"0 to 200 DM",4069,"critical account other credits existing (not at this bank)",33,"for free",1,"skilled employee official",1,2,"none","male single","1 to 4 years",4,"unknown / no property","radio television","unknown no savings account","yes registered under the customers name","false"
23,"Less than 0 DM",2100,"existing credits paid back duly till now",51,"for free",4,"skilled employee official",1,1,"none","male single","1 to 4 years",4,"unknown / no property","education","Less than 100 DM","yes registered under the customers name","false"
52,"0 to 200 DM",1351,"delay in paying off in the past",15,"own",4,"skilled employee official",1,2,"stores","male married widowed","1 to 4 years",2,"building society savings agreement life insurance","repairs","Less than 100 DM","none","false"
33,"0 to 200 DM",722,"existing credits paid back duly till now",17,"own",4,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"car or other not in attribute 6","repairs","Less than 100 DM","none","false"
34,"Less than 0 DM",1448,"existing credits paid back duly till now",10,"own",4,"unskilled - resident",1,1,"none","male single","1 to 4 years",2,"building society savings agreement life insurance","new car","Less than 100 DM","none","false"
32,"0 to 200 DM",988,"existing credits paid back duly till now",17,"own",2,"skilled employee official",1,1,"none","female divorced separated married","Greater than 7 years",3,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","false"
31,"Less than 0 DM",4326,"existing credits paid back duly till now",41,"own",3,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",2,"building society savings agreement life insurance","new car","Less than 100 DM","yes registered under the customers name","false"
23,"Less than 0 DM",1292,"existing credits paid back duly till now",18,"rent",4,"skilled employee official",1,2,"none","female divorced separated married","4 to 7 years",3,"car or other not in attribute 6","new car","Less than 100 DM","yes registered under the customers name","false"
38,"0 to 200 DM",1032,"critical account other credits existing (not at this bank)",22,"own",4,"skilled employee official",2,1,"bank","male single","Less than 1 year",4,"car or other not in attribute 6","new car","Less than 100 DM","yes registered under the customers name","false"
